epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,128.417,2.20241,3.3299,6.23415,0.00516,5.49369,0.82882,0.07142,0.04945,0.02005,0.81493,0.05717,0.04192,0.01646,1.99839,2.98113,5.03674,0.00693,0,0.000276709,0.000276709,0.000276709
2,248.148,2.14591,3.02478,4.4028,0.00512,2.3191,0.59889,0.08375,0.09844,0.04116,0.43676,0.07119,0.06847,0.02783,2.04963,3.0519,3.85522,0.00748,0,0.000547515,0.000547515,0.000547515
3,363.494,2.18042,3.07183,3.38676,0.00515,1.78963,0.20226,0.13508,0.13156,0.06066,0.13206,0.10863,0.09261,0.04237,2.1115,3.07137,2.96725,0.00745,0,0.000811449,0.000811449,0.000811449
4,473.181,2.18447,3.01676,2.78193,0.00549,1.15099,0.22239,0.15896,0.13377,0.05868,0.13493,0.12493,0.10533,0.05508,2.10084,2.95075,2.74797,0.00769,0,0.000802075,0.000802075,0.000802075
5,579.973,2.18069,2.92892,2.53755,0.00557,0.46201,0.60944,0.18499,0.17612,0.08349,0.44304,0.16261,0.14354,0.06879,2.15623,2.76278,2.37806,0.00795,0,0.000791767,0.000791767,0.000791767
6,686.331,2.17443,2.81803,2.30679,0.00542,0.41466,0.63184,0.17684,0.19881,0.09613,0.5846,0.14693,0.14042,0.06747,2.06332,2.86004,2.36161,0.00775,0,0.000781458,0.000781458,0.000781458
7,791.846,2.13283,2.83717,2.18744,0.00514,0.40994,0.54029,0.15877,0.1617,0.07445,0.49688,0.15281,0.14308,0.06329,2.09514,2.79816,2.29336,0.00768,0,0.00077115,0.00077115,0.00077115
8,897.332,2.13101,2.76961,2.12694,0.00513,0.38629,0.50257,0.22882,0.19566,0.0894,0.4708,0.21457,0.16131,0.06902,2.0329,2.67462,2.21218,0.00706,0,0.000760841,0.000760841,0.000760841
9,1003.64,2.11021,2.74501,2.03403,0.00502,0.38435,0.40598,0.21659,0.20859,0.10692,0.38375,0.16749,0.16499,0.07776,2.0062,2.66635,2.09462,0.00702,0,0.000750533,0.000750533,0.000750533
10,1108.96,2.1173,2.78319,2.00535,0.00498,0.35436,0.51429,0.24145,0.22456,0.1047,0.50694,0.21407,0.17829,0.08659,2.06421,2.63178,2.13767,0.00708,0,0.000740225,0.000740225,0.000740225
11,1214.34,2.12271,2.75672,1.97606,0.00507,0.3637,0.60638,0.19654,0.21186,0.1082,0.56057,0.17083,0.16725,0.08453,2.05313,2.67535,2.12294,0.0076,0,0.000729916,0.000729916,0.000729916
12,1320.89,2.09346,2.66053,1.92247,0.00491,0.35433,0.52392,0.18953,0.22655,0.11423,0.49901,0.16583,0.18508,0.08866,2.01796,2.82301,1.94661,0.00723,0,0.000719608,0.000719608,0.000719608
13,1426.34,2.07599,2.67008,1.88354,0.00475,0.34674,0.4278,0.24301,0.23516,0.11135,0.35739,0.18929,0.16538,0.07507,1.98889,2.57772,2.04337,0.00733,0,0.000709299,0.000709299,0.000709299
14,1531.75,2.09148,2.69802,1.8687,0.00489,0.34204,0.40917,0.27032,0.24218,0.11861,0.37352,0.20936,0.17618,0.07194,1.98443,2.62211,1.95363,0.00718,0,0.000698991,0.000698991,0.000698991
15,1637.22,2.02748,2.60042,1.80697,0.00472,0.34974,0.42718,0.25129,0.24954,0.12554,0.3971,0.23359,0.20022,0.08992,1.98351,2.63243,1.91251,0.0075,0,0.000688683,0.000688683,0.000688683
16,1743.52,2.02866,2.60557,1.77441,0.0047,0.32829,0.4079,0.29906,0.25925,0.1323,0.41325,0.23915,0.2111,0.09531,1.96252,2.58557,1.96268,0.00717,0,0.000678374,0.000678374,0.000678374
17,1854.47,2.04206,2.57222,1.79097,0.00475,0.33731,0.56425,0.25488,0.24748,0.12396,0.49346,0.19729,0.17661,0.08481,1.99252,2.61546,1.92198,0.00684,0,0.000668066,0.000668066,0.000668066
18,1964.67,2.01752,2.61211,1.76251,0.00453,0.34338,0.58911,0.28343,0.27397,0.13397,0.4719,0.25437,0.21682,0.09691,1.93772,2.74948,1.94305,0.00676,0,0.000657758,0.000657758,0.000657758
