epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,244.07,2.02519,2.87254,5.79828,0.00474,4.04395,0.61339,0.17305,0.1753,0.08516,0.55965,0.12957,0.11322,0.05392,1.92823,2.62395,2.90159,0.00572,0,0.000277241,0.000277241,0.000277241
2,470.61,2.10445,2.82152,2.6502,0.0054,1.55646,0.46466,0.17365,0.17213,0.08748,0.42885,0.14155,0.13408,0.07152,2.05018,2.61851,2.44507,0.00714,0,0.00054804,0.00054804,0.00054804
3,685.505,2.15122,2.80398,2.36945,0.00572,0.45891,0.18933,0.23932,0.19641,0.09034,0.16142,0.18748,0.13997,0.07024,2.10317,2.6995,2.23071,0.00715,0,0.000811968,0.000811968,0.000811968
4,898.888,2.19707,2.83434,2.25133,0.00611,0.44639,0.59728,0.18423,0.16994,0.08546,0.56636,0.15691,0.13395,0.06765,2.05489,2.59777,2.3104,0.00712,0,0.000802075,0.000802075,0.000802075
5,1111.81,2.16075,2.77945,2.15997,0.00581,0.43927,0.4607,0.24684,0.23432,0.10974,0.42552,0.19798,0.17749,0.07706,2.01255,2.64772,2.09127,0.00702,0,0.000791767,0.000791767,0.000791767
6,1323.91,2.13149,2.66801,2.07744,0.00553,0.41052,0.50474,0.19755,0.23184,0.11607,0.46771,0.1599,0.1703,0.08199,2.0624,2.54904,2.02524,0.00731,0,0.000781458,0.000781458,0.000781458
7,1536.31,2.07677,2.62146,2.03186,0.00563,0.39983,0.49006,0.26431,0.24289,0.12192,0.59886,0.18963,0.18736,0.08149,2.0491,2.52974,2.02628,0.00697,0,0.00077115,0.00077115,0.00077115
8,1749.13,2.09382,2.66415,1.94678,0.00549,0.39295,0.49057,0.28791,0.25244,0.12154,0.42876,0.22559,0.17678,0.07928,2.03613,2.57562,1.98236,0.00741,0,0.000760841,0.000760841,0.000760841
9,1961.51,2.06205,2.62248,1.90125,0.00544,0.38748,0.5134,0.27735,0.28894,0.14588,0.45081,0.21071,0.20658,0.10188,2.01298,2.3825,1.91703,0.00668,0,0.000750533,0.000750533,0.000750533
10,2174.02,2.0387,2.499,1.80109,0.00509,0.36554,0.53046,0.24248,0.28319,0.14828,0.47159,0.26307,0.21614,0.10566,1.96157,2.43651,1.81198,0.0065,0,0.000740225,0.000740225,0.000740225
11,2386.29,2.05816,2.67117,1.8856,0.00514,0.36658,0.62671,0.29164,0.27592,0.1348,0.56267,0.23776,0.20257,0.09742,1.95927,2.62692,2.05138,0.00652,0,0.000729916,0.000729916,0.000729916
12,2598.63,2.01633,2.54935,1.76873,0.00505,0.35757,0.56077,0.28733,0.2984,0.13985,0.5146,0.20743,0.19188,0.08402,1.97515,2.52084,1.82553,0.00663,0,0.000719608,0.000719608,0.000719608
13,2810.59,2.02631,2.51959,1.7571,0.0051,0.36113,0.45639,0.28448,0.29076,0.14622,0.42018,0.22276,0.20587,0.09256,1.95793,2.45393,1.76357,0.00673,0,0.000709299,0.000709299,0.000709299
14,3022.7,1.97748,2.47185,1.73768,0.00505,0.35652,0.49587,0.30977,0.29391,0.1475,0.37695,0.21694,0.19663,0.09339,1.9523,2.46043,1.73151,0.00667,0,0.000698991,0.000698991,0.000698991
15,3235.28,1.98696,2.40667,1.69417,0.00491,0.34822,0.46861,0.32631,0.30096,0.15241,0.46514,0.26401,0.22489,0.10147,1.91554,2.42823,1.78953,0.00616,0,0.000688683,0.000688683,0.000688683
16,3447.62,1.99044,2.50046,1.6874,0.00488,0.33366,0.56705,0.28453,0.30929,0.15773,0.40452,0.22739,0.21662,0.11061,1.91177,2.29881,1.66363,0.00625,0,0.000678374,0.000678374,0.000678374
17,3662.14,1.9823,2.46407,1.6799,0.00496,0.33488,0.49433,0.33815,0.30377,0.15569,0.44218,0.27058,0.22926,0.1133,1.90074,2.46414,1.68697,0.00634,0,0.000668066,0.000668066,0.000668066
18,3907.09,1.94684,2.46721,1.61134,0.00472,0.32275,0.59843,0.27702,0.32199,0.15988,0.54703,0.23296,0.23833,0.10994,1.92752,2.29702,1.63443,0.00616,0,0.000657758,0.000657758,0.000657758
19,4140.15,1.93163,2.39862,1.64255,0.00469,0.33055,0.4818,0.27694,0.30443,0.15893,0.41638,0.25153,0.23017,0.11298,1.91071,2.3631,1.67767,0.00625,0,0.000647449,0.000647449,0.000647449
20,4364.42,1.94771,2.41269,1.59617,0.00453,0.33298,0.56469,0.34723,0.34475,0.17891,0.52547,0.3009,0.27096,0.12798,1.91433,2.2577,1.68455,0.00609,0,0.000637141,0.000637141,0.000637141
21,4596.1,1.94489,2.42951,1.56807,0.0048,0.32092,0.49066,0.35202,0.35273,0.17308,0.39293,0.26697,0.23318,0.10645,1.88413,2.35788,1.71271,0.00611,0,0.000626832,0.000626832,0.000626832
